,year,sex,age,
For filters: indicatorCode1,2010,FMLE,S05-19,
contry_name,value
COL,4.9,
COM,2.6,
COG,1.2,
COK,26.6,
CRI,9.5,
HRV,5.7,
CUB,8.9,
CYP,7.6,
CZE,4.8,
DNK,4.9,
DJI,5,
DMA,12.9,
DOM,11.4,
COD,2,
ECU,6.5,
EGY,15.5,
SLV,10.1,
GNQ,1.9,
ERI,1.8,
EST,3.7,
ETH,0.8,
FJI,9.3,
FIN,4.9,
FRA,6.3,
GAB,3.8,
GMB,2.6,
GEO,3,
DEU,5.8,
GHA,2.4,
GRC,9.1,
GRD,7.7,
GTM,7.6,
GIN,1.6,
GNB,2.1,
GUY,7.4,
HTI,5.4,
HND,7.4,
HUN,6.2,
ISL,6.7,
IND,0.8,
IDN,3.3,
IRN,7.1,
IRQ,11.8,
IRL,8,
ISR,9,
ITA,9.3,
JAM,10.4,
JPN,1.8,
JOR,10.8,
KAZ,3.4,
KEN,2,
KIR,19.1,
KWT,18.9,
KGZ,1.6,
LVA,3.9,
LBN,10.2,
LSO,4.9,
LBR,1.9,
LBY,11.3,
LTU,3.7,
LUX,5.7,
MKD,4.5,
MDG,1,
MWI,1.7,
MYS,7.8,
MDV,3,
MLI,2.6,
MLT,10.5,
MHL,23.6,
MRT,4.2,
MUS,3.8,
MEX,11,
FSM,16.6,
MDA,2.1,
MNG,2.3,
MNE,3.9,
MAR,7.4,
MOZ,2.3,
MMR,1.3,
NAM,3.8,
NRU,30.7,
NPL,0.9,
NLD,4.8,
NZL,13.4,
NIC,9.1,
NER,1.2,
NGA,1.4,
NIU,22.1,
NOR,6.8,
OMN,10.7,
PAK,1.4,
PLW,26.9,
PAN,9.3,
PNG,7.2,
PRY,7.1,
AFG,1.7,
PER,5.5,
ALB,3.6,
PHL,1.6,
DZA,9.6,
AND,10,
AGO,1.9,
ATG,8.7,
POL,3.6,
ARG,11.3,
PRT,9.2,
ARM,3.2,
QAT,15.2,
AUS,10.5,
ROU,3.7,
RUS,3.3,
AUT,4.8,
AZE,2.9,
RWA,1.7,
KNA,8.6,
LCA,6.3,
VCT,9.2,
BHS,14.4,
WSM,17.5,
BHR,14,
STP,3,
SAU,12.1,
BGD,1.2,
SEN,1.9,
BRB,8.9,
SRB,4.9,
BLR,3.8,
SYC,8.3,
BEL,5.5,
SLE,2.8,
SGP,4.1,
BLZ,9.3,
SVK,3.7,
BEN,2.7,
SVN,5.2,
BTN,1.4,
BOL,6.7,
BIH,2.9,
SLB,3.2,
BWA,6,
SOM,2.7,
BRA,7.5,
ZAF,7.1,
BRN,7.5,
KOR,3.5,
ESP,7.2,
LKA,2.4,
BGR,5.8,
BFA,0.6,
SUR,10.5,
BDI,1.4,
SWZ,5.3,
CPV,3,
KHM,0.6,
CMR,3.1,
CAN,8.9,
SWE,4,
CAF,1.9,
TCD,1.3,
CHE,3.8,
SYR,8.3,
TJK,1.4,
CHL,11.1,
CHN,3.7,
TZA,2,
THA,5.7,
TLS,1.6,
TGO,1.7,
TON,24.1,
TTO,7.1,
TUN,6.6,
TUR,8.7,
TKM,2.4,
TUV,23.4,
UGA,1.7,
UKR,3.6,
ARE,12.4,
GBR,9.6,
USA,18.4,
URY,10.1,
UZB,1.9,
VUT,5.9,
VEN,11.8,
VNM,0.5,
YEM,4.9,
ZMB,2.4,
ZWE,4,
MCO,-1,
SMR,-1,
SDN,-1,
