,year,sex,age,
For filters: indicatorCode1,1978,FMLE,S05-19,
contry_name,value
COM,0.1,
COG,0.1,
COK,4.9,
CRI,0.9,
HRV,0.6,
CUB,2.3,
CYP,1.4,
CZE,1.3,
DNK,3,
DJI,1.4,
DMA,1.5,
DOM,1.4,
COD,0.1,
ECU,0.8,
EGY,2.5,
SLV,1.2,
GNQ,0.1,
ERI,0.1,
EST,1.6,
ETH,0,
FJI,1.5,
FIN,1.3,
FRA,2.7,
GAB,0.2,
GMB,0.1,
GEO,0.7,
DEU,2.6,
GHA,0.1,
GRC,3.3,
GRD,0.8,
GTM,0.7,
GIN,0.1,
GNB,0.1,
GUY,0.7,
HTI,0.2,
HND,0.6,
HUN,1.3,
ISL,4.2,
IND,0,
IDN,0,
IRN,0.6,
IRQ,2.6,
IRL,1.3,
ISR,5.6,
ITA,4,
JAM,1.4,
JPN,0.8,
JOR,1.6,
KAZ,0.8,
KEN,0.1,
KIR,1.5,
KWT,8.8,
KGZ,0.2,
LVA,1.4,
LBN,2.2,
LSO,0.1,
LBR,0.1,
LBY,2.3,
LTU,0.9,
LUX,2.5,
MKD,0.6,
MDG,0,
MWI,0,
MYS,0.3,
MDV,0,
MLI,0.1,
MLT,7,
MHL,4.9,
MRT,0.1,
MUS,0.5,
MEX,2.4,
FSM,1.4,
MDA,0.3,
MNG,0.4,
MNE,0.1,
MAR,0.6,
MOZ,0.1,
MMR,0,
NAM,0.1,
NRU,17.4,
NPL,0,
NLD,1.1,
NZL,5.2,
NIC,1.5,
NER,0,
NGA,0,
NIU,1.6,
NOR,2.2,
OMN,0.7,
PAK,0,
PLW,6.1,
PAN,1.4,
PNG,0.7,
PRY,0.7,
AFG,0,
PER,1.4,
ALB,0.2,
PHL,0,
DZA,0.9,
POL,0.5,
AND,6.4,
AGO,0,
ATG,1.1,
ARG,5,
PRT,1.5,
ARM,1.1,
QAT,6.9,
ROU,0.4,
AUS,4.4,
AUT,1.7,
RUS,1.2,
AZE,0.7,
RWA,0,
KNA,1.1,
BHS,4.7,
LCA,0.6,
VCT,0.9,
WSM,0.9,
BHR,6,
STP,0.2,
BGD,0,
SAU,1.8,
SEN,0.2,
BRB,1.3,
SRB,0.4,
BLR,0.6,
SYC,1.2,
BEL,4.5,
SLE,0.2,
BLZ,2,
SGP,3.5,
SVK,0.4,
BEN,0.1,
SVN,0.5,
SLB,0.2,
BTN,0,
BOL,0.8,
BIH,0.2,
BWA,0,
SOM,0.1,
BRA,1.3,
ZAF,0.3,
BRN,1,
KOR,0.3,
BGR,0.9,
ESP,2.6,
LKA,0.1,
BFA,0,
SUR,2,
BDI,0,
SWZ,0.1,
CPV,0.1,
KHM,0,
CMR,0.2,
SWE,2.4,
CAN,2.8,
CAF,0.1,
CHE,0.8,
TCD,0.1,
SYR,1,
CHL,4.4,
TJK,0.2,
CHN,0.1,
TZA,0.1,
COL,0.8,
THA,0.1,
TLS,0,
TGO,0.1,
TON,2,
TTO,0.3,
TUN,0.6,
TUR,0.7,
TKM,0.5,
TUV,1.6,
UGA,0,
UKR,1,
ARE,5.2,
GBR,3.4,
USA,6.3,
URY,4.5,
UZB,0.3,
VUT,0.5,
VEN,4.2,
VNM,0,
YEM,0.2,
ZMB,0.2,
ZWE,0.1,
MCO,-1,
SMR,-1,
SDN,-1,
